2026-09-05 10:34:37,282 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 10:34:37,649 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 10:34:37,649 | INFO | gmail_sync | Fetched 5 message IDs. Fetching message details...
2026-09-05 10:34:39,404 | INFO | gmail_sync | Fetched 5 emails in 2.12 seconds.
2026-09-05 10:34:49,620 | INFO | gmail_sync | Authenticating user...
2026-09-05 10:34:49,620 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 10:34:49,621 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 10:34:49,624 | INFO | gmail_sync | Fetching up to 5 recent message IDs...
2026-09-05 10:34:50,005 | INFO | gmail_sync | Fetched page 1: 5 messages (total: 5/5)
2026-09-05 10:34:50,005 | INFO | gmail_sync | Fetched 5 message IDs. Fetching message details...
2026-09-05 10:34:52,011 | INFO | gmail_sync | Fetched 5 emails in 2.39 seconds.
2026-09-05 10:36:44,414 | INFO | gmail_sync | Authenticating user...
2026-09-05 10:36:44,414 | INFO | gmail_sync | Token file found. Loading credentials...
2026-09-05 10:36:44,416 | INFO | gmail_sync | Authentication successful. Building Gmail service...
2026-09-05 10:36:44,418 | INFO | gmail_sync | First boot detected. Fetching first 5 emails...
